Fruit_Type,Supplier_Region,Packaging_Type,Customer_Type,Shipping_Method,Payment_Method,Quality_Grade,Quantity_KG,Unit_Price,Total_Revenue,Order_Date,Delivery_Date
Guava,Visayas,Jar,Retail,Air Freight,GCash,Grade B,397.05,266.18,150147.61,2024-07-04,2024-07-08
Papaya,Mindanao,Vacuum Pack,Wholesale,Pickup,Credit Card,Premium,482.55,428.95,40136.17,2024-02-04,2024-02-08
Jackfruit,Mindanao,Vacuum Pack,Distributor,Pickup,Bank Transfer,Grade A,212.19,137.19,136672.01,2024-02-13,2024-02-25
Coconut,Visayas,Box,Retail,Sea Cargo,Bank Transfer,Premium,103.84,380.42,11696.67,2024-04-25,2024-04-29
Guava,Mindanao,Jar,Wholesale,Courier,Cash,Grade A,120.96,150.16,127542.52,2024-02-13,2024-02-23
Mango,Visayas,Resealable Bag,Retail,Sea Cargo,Credit Card,Grade A,192.53,304.26,132482.74,2025-10-02,2025-10-03
Papaya,Mindanao,Resealable Bag,Retail,Pickup,Bank Transfer,Premium,110.63,416.56,102207.41,2024-12-21,2025-01-03
Banana,Mindanao,Jar,Wholesale,Sea Cargo,Bank Transfer,Grade B,379.58,210.86,167956.42,2025-03-24,2025-04-02
Mango,Mindanao,Resealable Bag,Online,Courier,Bank Transfer,Premium,215.2,120.24,131224.95,2025-07-21,2025-07-24
Pineapple,Luzon,Box,Wholesale,Courier,Cash,Premium,485.22,390.29,46075.2,2025-01-23,2025-02-04
Guava,Mindanao,Resealable Bag,Distributor,Courier,Credit Card,Premium,194.91,151.76,135189.3,2025-11-30,2025-12-08
Pineapple,Luzon,Vacuum Pack,Wholesale,Air Freight,Credit Card,Grade A,94.44,308.43,168896.91,2024-02-14,2024-02-28
Jackfruit,Mindanao,Box,Retail,Courier,GCash,Premium,373.03,124.32,184996.69,2025-11-04,2025-11-12
Guava,Luzon,Jar,Retail,Courier,Credit Card,Grade B,407.41,139.24,127217.33,2025-11-02,2025-11-10
Coconut,Luzon,Box,Retail,Sea Cargo,Cash,Grade A,376.33,295.45,45997.48,2025-06-25,2025-06-26
Pineapple,Mindanao,Resealable Bag,Online,Air Freight,Bank Transfer,Premium,256.42,339.53,177736.56,2025-06-22,2025-07-03
Pineapple,Mindanao,Jar,Distributor,Sea Cargo,Credit Card,Grade B,456.12,301.53,199401.56,2024-06-19,2024-07-02
Guava,Mindanao,Jar,Distributor,Sea Cargo,GCash,Grade B,394.57,425.63,58276.93,2025-01-15,2025-01-22
Papaya,Luzon,Vacuum Pack,Distributor,Air Freight,GCash,Grade B,52.96,444.85,50816.33,2025-04-08,2025-04-16
Guava,Mindanao,Box,Wholesale,Air Freight,Cash,Grade B,210.05,165.67,79745.75,2024-11-18,2024-11-19
Pineapple,Visayas,Box,Retail,Pickup,GCash,Premium,84.74,227.15,101681.3,2025-08-19,2025-08-23
Coconut,Mindanao,Vacuum Pack,Distributor,Air Freight,Credit Card,Grade A,401.05,424.22,73534.03,2025-05-14,2025-05-28
Guava,Luzon,Resealable Bag,Retail,Pickup,Cash,Grade B,285.97,225.37,117333.45,2025-03-20,2025-03-27
Coconut,Luzon,Resealable Bag,Retail,Pickup,Credit Card,Premium,308.86,149.73,92067.78,2024-11-30,2024-12-09
Pineapple,Visayas,Vacuum Pack,Online,Air Freight,Credit Card,Grade B,88.29,285.6,157026.78,2025-02-07,2025-02-10
Pineapple,Visayas,Resealable Bag,Online,Pickup,GCash,Premium,327.2,362.77,56786.71,2024-05-13,2024-05-26
Guava,Visayas,Box,Retail,Air Freight,Credit Card,Grade B,214.37,182.86,75459.73,2024-03-14,2024-03-19
Guava,Visayas,Resealable Bag,Distributor,Pickup,GCash,Grade B,70.19,390.0,47940.19,2025-11-02,2025-11-03
Guava,Mindanao,Vacuum Pack,Retail,Air Freight,GCash,Premium,467.03,406.69,165825.45,2025-01-17,2025-01-20
Coconut,Luzon,Box,Online,Pickup,Cash,Grade B,144.05,297.54,48722.26,2024-01-15,2024-01-21
Banana,Mindanao,Jar,Wholesale,Air Freight,Credit Card,Premium,457.72,293.84,58536.71,2025-06-19,2025-07-02
Pineapple,Mindanao,Box,Retail,Pickup,Cash,Grade A,224.89,209.53,171895.76,2024-03-02,2024-03-07
Guava,Luzon,Vacuum Pack,Distributor,Pickup,GCash,Grade B,278.84,354.2,181735.69,2025-11-06,2025-11-12
Jackfruit,Mindanao,Vacuum Pack,Wholesale,Sea Cargo,Credit Card,Premium,466.86,127.09,57004.51,2025-05-11,2025-05-25
Banana,Visayas,Jar,Wholesale,Air Freight,Bank Transfer,Premium,208.36,326.33,54878.91,2025-06-26,2025-07-01
Guava,Luzon,Box,Online,Air Freight,Bank Transfer,Grade A,118.27,416.07,134817.03,2025-05-28,2025-06-02
Papaya,Mindanao,Resealable Bag,Online,Sea Cargo,GCash,Grade B,486.74,420.21,72564.1,2024-03-30,2024-04-11
Pineapple,Mindanao,Resealable Bag,Wholesale,Sea Cargo,Bank Transfer,Premium,367.31,292.86,35697.97,2025-07-09,2025-07-12
Jackfruit,Luzon,Box,Retail,Air Freight,GCash,Grade B,427.79,168.02,15601.84,2024-05-28,2024-06-08
Papaya,Visayas,Jar,Distributor,Sea Cargo,GCash,Grade A,109.2,128.65,197331.56,2024-11-22,2024-11-29
Jackfruit,Mindanao,Resealable Bag,Wholesale,Sea Cargo,Cash,Grade B,85.76,377.34,35476.46,2025-09-23,2025-09-28
Coconut,Mindanao,Box,Wholesale,Pickup,Credit Card,Grade B,111.88,183.78,16123.62,2025-09-11,2025-09-19
Papaya,Luzon,Resealable Bag,Wholesale,Air Freight,GCash,Grade B,440.21,281.68,71730.17,2024-01-16,2024-01-21
Papaya,Visayas,Vacuum Pack,Online,Courier,Credit Card,Premium,472.61,308.74,111870.28,2025-04-13,2025-04-17
Guava,Luzon,Vacuum Pack,Online,Pickup,Cash,Grade A,283.42,250.55,149682.32,2025-10-18,2025-10-30
Jackfruit,Mindanao,Vacuum Pack,Wholesale,Courier,Credit Card,Grade B,447.98,375.31,64323.77,2025-07-25,2025-08-01
Banana,Mindanao,Vacuum Pack,Wholesale,Pickup,Credit Card,Grade A,375.19,157.35,157958.92,2024-06-19,2024-06-26
Pineapple,Visayas,Jar,Distributor,Pickup,Cash,Grade A,254.16,415.88,180201.03,2025-12-13,2025-12-22
Banana,Visayas,Resealable Bag,Retail,Air Freight,Cash,Premium,252.23,239.77,109525.29,2025-04-10,2025-04-12
Guava,Mindanao,Resealable Bag,Online,Pickup,Cash,Grade A,460.51,306.61,135310.76,2025-01-28,2025-02-09
Guava,Luzon,Resealable Bag,Retail,Pickup,Bank Transfer,Grade B,378.57,437.12,64868.3,2024-06-02,2024-06-05
Pineapple,Luzon,Vacuum Pack,Distributor,Air Freight,Credit Card,Grade B,434.93,299.36,11092.6,2024-07-04,2024-07-06
Pineapple,Mindanao,Jar,Online,Pickup,Credit Card,Grade A,320.55,122.17,177611.89,2025-05-20,2025-05-24
Coconut,Mindanao,Resealable Bag,Retail,Sea Cargo,GCash,Grade A,343.97,132.12,172227.56,2024-10-11,2024-10-21
Guava,Mindanao,Box,Distributor,Air Freight,Cash,Grade A,237.63,178.82,137697.19,2025-11-14,2025-11-24
Coconut,Mindanao,Resealable Bag,Online,Courier,Cash,Grade A,395.83,226.53,180530.66,2025-09-17,2025-09-28
Papaya,Mindanao,Vacuum Pack,Distributor,Pickup,GCash,Grade A,362.58,210.56,110140.02,2024-03-10,2024-03-23
Coconut,Luzon,Vacuum Pack,Retail,Air Freight,Credit Card,Premium,359.89,428.18,197392.9,2025-06-21,2025-06-25
Jackfruit,Visayas,Box,Distributor,Sea Cargo,Credit Card,Premium,378.13,284.25,163516.27,2024-10-21,2024-10-28
Coconut,Visayas,Resealable Bag,Retail,Air Freight,Cash,Grade B,331.46,158.92,171133.26,2025-09-16,2025-09-20
Papaya,Luzon,Box,Distributor,Sea Cargo,Cash,Premium,140.53,212.94,160137.15,2025-09-22,2025-09-29
Jackfruit,Mindanao,Box,Retail,Air Freight,Bank Transfer,Grade B,228.22,307.74,192421.44,2024-11-11,2024-11-16
Banana,Visayas,Jar,Online,Air Freight,GCash,Grade B,119.92,272.0,174392.63,2024-06-28,2024-07-02
Guava,Visayas,Vacuum Pack,Distributor,Courier,Cash,Grade A,309.83,229.47,184075.43,2024-12-09,2024-12-17
Pineapple,Visayas,Vacuum Pack,Distributor,Pickup,GCash,Premium,322.56,181.84,32200.48,2024-12-28,2024-12-30
Guava,Visayas,Vacuum Pack,Distributor,Pickup,Cash,Grade B,444.67,242.62,167596.92,2024-11-11,2024-11-23
Jackfruit,Visayas,Resealable Bag,Retail,Courier,Cash,Grade A,461.01,266.45,14737.61,2024-11-05,2024-11-09
Pineapple,Luzon,Box,Online,Courier,Bank Transfer,Grade A,396.27,152.42,196631.96,2025-05-09,2025-05-18
Pineapple,Luzon,Vacuum Pack,Online,Pickup,Cash,Grade A,189.94,134.53,171143.56,2025-06-12,2025-06-23
Papaya,Luzon,Vacuum Pack,Distributor,Air Freight,Bank Transfer,Premium,451.46,225.89,46583.67,2024-03-30,2024-04-05
Banana,Visayas,Vacuum Pack,Distributor,Sea Cargo,GCash,Grade B,101.51,436.24,116328.9,2024-10-10,2024-10-19
Jackfruit,Visayas,Box,Distributor,Sea Cargo,Bank Transfer,Premium,160.17,143.51,126519.95,2024-04-14,2024-04-18
Papaya,Luzon,Resealable Bag,Retail,Pickup,Cash,Grade A,222.62,148.42,84464.18,2024-12-12,2024-12-21
Jackfruit,Mindanao,Jar,Distributor,Courier,Bank Transfer,Grade A,370.8,341.39,111362.14,2025-12-22,2026-01-01
Pineapple,Luzon,Jar,Retail,Pickup,Bank Transfer,Premium,339.99,372.94,99403.72,2025-04-21,2025-05-01
Guava,Mindanao,Box,Distributor,Pickup,GCash,Premium,462.77,229.01,173550.4,2024-08-17,2024-08-20
Papaya,Luzon,Vacuum Pack,Online,Air Freight,Bank Transfer,Grade B,257.56,176.36,155908.89,2024-11-28,2024-12-06
Pineapple,Mindanao,Vacuum Pack,Online,Air Freight,Bank Transfer,Premium,342.25,381.5,111221.66,2025-09-10,2025-09-20
Papaya,Luzon,Resealable Bag,Wholesale,Pickup,Credit Card,Grade A,203.32,388.59,122284.34,2025-02-14,2025-02-24
Guava,Visayas,Resealable Bag,Wholesale,Air Freight,Credit Card,Grade A,316.47,272.76,115466.66,2025-03-21,2025-03-31
Banana,Visayas,Vacuum Pack,Retail,Pickup,Bank Transfer,Grade B,340.25,140.29,51346.24,2025-03-31,2025-04-03
Guava,Mindanao,Vacuum Pack,Wholesale,Sea Cargo,Credit Card,Premium,181.18,323.14,94960.36,2024-05-22,2024-06-01
Banana,Visayas,Box,Online,Courier,Cash,Premium,53.65,445.52,86797.51,2024-07-29,2024-08-09
Banana,Luzon,Box,Retail,Air Freight,Bank Transfer,Grade A,437.56,405.67,54695.82,2024-05-10,2024-05-24
Papaya,Mindanao,Box,Online,Pickup,Credit Card,Grade B,295.3,338.62,100225.57,2025-12-20,2025-12-30
Papaya,Visayas,Jar,Wholesale,Courier,GCash,Grade A,55.22,333.97,37359.22,2024-07-11,2024-07-20
Papaya,Luzon,Vacuum Pack,Wholesale,Pickup,Credit Card,Premium,321.99,260.48,44161.5,2025-05-13,2025-05-24
Jackfruit,Visayas,Jar,Distributor,Sea Cargo,GCash,Grade B,322.06,310.72,170892.74,2025-06-05,2025-06-12
Jackfruit,Visayas,Jar,Distributor,Air Freight,Cash,Premium,267.47,241.63,120251.07,2024-08-30,2024-09-11
Pineapple,Mindanao,Box,Online,Air Freight,Cash,Grade A,262.6,364.76,192478.1,2025-12-08,2025-12-10
Coconut,Mindanao,Box,Retail,Courier,Cash,Grade B,254.32,419.0,119053.41,2024-03-20,2024-03-31
Banana,Visayas,Box,Wholesale,Air Freight,Bank Transfer,Premium,403.26,205.95,129567.01,2024-12-05,2024-12-12
Jackfruit,Luzon,Box,Retail,Courier,Credit Card,Grade A,107.07,145.36,158914.94,2025-08-15,2025-08-18
Jackfruit,Visayas,Box,Distributor,Air Freight,Cash,Premium,128.58,315.28,38715.77,2024-09-15,2024-09-18
Guava,Luzon,Box,Wholesale,Pickup,GCash,Premium,437.91,233.14,26036.28,2025-04-02,2025-04-08
Guava,Luzon,Jar,Online,Pickup,GCash,Premium,248.08,330.4,50062.78,2024-05-28,2024-06-07
Coconut,Visayas,Vacuum Pack,Retail,Sea Cargo,Credit Card,Grade B,264.3,277.17,190167.84,2024-12-19,2024-12-20
Papaya,Mindanao,Jar,Online,Courier,GCash,Premium,441.62,123.91,186172.28,2025-06-29,2025-07-03
Coconut,Visayas,Vacuum Pack,Retail,Courier,Credit Card,Premium,463.12,403.26,73643.81,2025-04-04,2025-04-11
Mango,Visayas,Jar,Online,Sea Cargo,GCash,Premium,201.83,347.79,44184.16,2024-09-30,2024-10-13
Coconut,Luzon,Vacuum Pack,Retail,Pickup,Cash,Premium,96.76,267.16,51689.1,2025-07-14,2025-07-15
Pineapple,Luzon,Vacuum Pack,Retail,Air Freight,GCash,Premium,337.14,353.66,32795.65,2024-10-17,2024-10-22
Papaya,Mindanao,Resealable Bag,Retail,Sea Cargo,Bank Transfer,Grade B,260.13,428.94,131368.3,2025-09-11,2025-09-14
Papaya,Mindanao,Box,Distributor,Sea Cargo,Cash,Grade B,399.7,246.32,73204.4,2024-10-10,2024-10-23
Guava,Visayas,Resealable Bag,Online,Air Freight,Credit Card,Grade A,324.64,178.89,103490.89,2024-03-02,2024-03-07
Guava,Visayas,Resealable Bag,Retail,Pickup,Bank Transfer,Grade A,65.69,143.24,148233.58,2024-05-27,2024-06-05
Papaya,Luzon,Vacuum Pack,Retail,Pickup,Bank Transfer,Grade A,365.02,418.52,119181.65,2025-04-01,2025-04-02
Guava,Visayas,Jar,Online,Pickup,Cash,Premium,151.63,246.86,140959.65,2025-06-11,2025-06-23
Jackfruit,Mindanao,Box,Distributor,Courier,Credit Card,Grade A,334.52,436.41,27226.73,2025-05-08,2025-05-10
Banana,Luzon,Jar,Distributor,Sea Cargo,GCash,Premium,67.7,246.77,46290.6,2025-07-01,2025-07-15
Mango,Mindanao,Box,Online,Air Freight,Credit Card,Premium,135.26,131.78,14819.28,2025-12-13,2025-12-20
Papaya,Visayas,Vacuum Pack,Distributor,Pickup,Credit Card,Grade A,66.67,138.5,159677.92,2025-08-30,2025-09-03
Mango,Luzon,Jar,Wholesale,Sea Cargo,Cash,Grade A,380.96,281.34,13621.97,2024-02-13,2024-02-20
Pineapple,Mindanao,Resealable Bag,Retail,Sea Cargo,Cash,Grade B,419.33,152.11,126132.92,2025-09-25,2025-09-26
Guava,Luzon,Vacuum Pack,Online,Sea Cargo,Cash,Grade A,241.8,387.8,196616.62,2025-08-28,2025-08-30
Banana,Luzon,Resealable Bag,Distributor,Sea Cargo,Cash,Premium,128.05,140.86,62039.74,2025-11-25,2025-12-02
Coconut,Visayas,Resealable Bag,Online,Sea Cargo,Cash,Grade A,94.99,399.63,126363.89,2025-03-01,2025-03-04
Papaya,Luzon,Vacuum Pack,Retail,Sea Cargo,Cash,Premium,343.29,412.68,89082.23,2024-06-10,2024-06-11
Pineapple,Luzon,Resealable Bag,Distributor,Pickup,Credit Card,Grade A,472.14,321.48,17148.03,2025-05-02,2025-05-14
Papaya,Mindanao,Vacuum Pack,Distributor,Courier,Credit Card,Grade A,300.97,183.33,197454.67,2024-07-03,2024-07-15
Banana,Mindanao,Resealable Bag,Online,Sea Cargo,Bank Transfer,Grade A,137.17,382.88,140196.31,2024-04-07,2024-04-17
Pineapple,Luzon,Vacuum Pack,Retail,Courier,Bank Transfer,Grade A,245.6,230.32,162979.2,2025-04-30,2025-05-08
Mango,Mindanao,Vacuum Pack,Wholesale,Sea Cargo,Cash,Grade B,281.71,143.38,54706.97,2025-04-09,2025-04-10
Jackfruit,Visayas,Jar,Wholesale,Courier,GCash,Grade A,196.76,152.36,150172.09,2025-03-31,2025-04-10
Pineapple,Luzon,Jar,Online,Air Freight,Credit Card,Grade A,147.27,321.11,43831.55,2024-07-23,2024-07-30
Papaya,Mindanao,Resealable Bag,Distributor,Courier,GCash,Grade B,107.25,348.43,21333.83,2025-01-17,2025-01-20
Guava,Visayas,Jar,Online,Sea Cargo,Bank Transfer,Grade A,448.88,319.2,160013.92,2024-05-19,2024-05-21
Pineapple,Mindanao,Resealable Bag,Retail,Pickup,Credit Card,Grade A,316.21,396.21,63042.47,2025-10-15,2025-10-25
Guava,Luzon,Resealable Bag,Distributor,Pickup,GCash,Premium,475.81,421.54,180667.84,2025-03-14,2025-03-26
Mango,Visayas,Vacuum Pack,Online,Pickup,Credit Card,Premium,419.58,269.31,55697.18,2025-03-03,2025-03-04
Mango,Mindanao,Jar,Wholesale,Sea Cargo,Bank Transfer,Grade B,157.58,449.65,13026.73,2025-07-25,2025-08-07
Pineapple,Mindanao,Jar,Retail,Pickup,Credit Card,Grade A,443.39,253.77,160073.16,2025-11-16,2025-11-21
Papaya,Mindanao,Vacuum Pack,Retail,Pickup,Bank Transfer,Premium,64.72,260.55,61259.98,2025-01-14,2025-01-25
Jackfruit,Luzon,Vacuum Pack,Distributor,Air Freight,Bank Transfer,Grade A,99.93,240.64,127635.36,2025-09-19,2025-09-28
Pineapple,Mindanao,Vacuum Pack,Wholesale,Sea Cargo,Bank Transfer,Grade A,292.84,334.18,150102.21,2025-01-09,2025-01-15
Coconut,Luzon,Resealable Bag,Distributor,Courier,Bank Transfer,Premium,356.1,211.46,22040.14,2025-08-17,2025-08-31
Papaya,Mindanao,Vacuum Pack,Online,Courier,Credit Card,Premium,215.67,342.19,141712.39,2024-12-19,2024-12-27
Papaya,Luzon,Vacuum Pack,Online,Sea Cargo,Bank Transfer,Grade A,99.21,211.06,142445.6,2024-03-08,2024-03-12
Guava,Luzon,Vacuum Pack,Distributor,Pickup,GCash,Grade B,206.02,266.47,132490.04,2025-05-23,2025-05-26
Mango,Luzon,Resealable Bag,Distributor,Pickup,Bank Transfer,Premium,340.72,227.68,122737.88,2024-10-25,2024-10-29
Guava,Mindanao,Jar,Online,Courier,GCash,Grade B,127.28,205.8,102006.19,2025-12-14,2025-12-23
Guava,Luzon,Resealable Bag,Distributor,Courier,Credit Card,Grade A,328.38,173.06,111710.17,2024-10-22,2024-11-04
Guava,Mindanao,Resealable Bag,Wholesale,Sea Cargo,Cash,Grade A,497.2,309.59,93768.84,2024-07-05,2024-07-08
Pineapple,Mindanao,Vacuum Pack,Distributor,Courier,GCash,Grade B,251.79,441.9,111392.16,2025-01-13,2025-01-16
Papaya,Visayas,Resealable Bag,Online,Courier,GCash,Grade A,486.57,300.23,106407.72,2024-05-04,2024-05-05
Banana,Visayas,Box,Wholesale,Pickup,Bank Transfer,Premium,100.54,278.06,17615.37,2025-10-24,2025-11-05
Mango,Visayas,Vacuum Pack,Online,Sea Cargo,Credit Card,Grade B,91.62,138.16,131849.4,2025-11-25,2025-12-04
Pineapple,Visayas,Resealable Bag,Retail,Air Freight,Credit Card,Premium,352.2,148.83,107239.63,2025-08-20,2025-08-29
Banana,Mindanao,Vacuum Pack,Distributor,Pickup,GCash,Premium,434.21,241.98,80837.92,2024-07-18,2024-07-26
Banana,Visayas,Jar,Retail,Sea Cargo,Credit Card,Premium,496.67,385.22,64840.46,2024-10-18,2024-10-24
Papaya,Luzon,Vacuum Pack,Wholesale,Sea Cargo,Bank Transfer,Grade B,494.77,293.35,73729.18,2025-03-10,2025-03-22
Papaya,Luzon,Vacuum Pack,Online,Courier,Credit Card,Grade A,300.12,354.38,153496.31,2025-08-27,2025-09-09
Pineapple,Visayas,Box,Online,Air Freight,Bank Transfer,Premium,186.76,304.56,98055.85,2024-05-20,2024-05-24
Mango,Luzon,Box,Distributor,Pickup,Cash,Premium,349.66,214.94,44080.74,2024-01-28,2024-02-10
Pineapple,Luzon,Vacuum Pack,Distributor,Pickup,Cash,Premium,385.5,311.75,117459.17,2025-12-05,2025-12-16
Coconut,Visayas,Vacuum Pack,Distributor,Air Freight,Bank Transfer,Grade A,311.74,168.23,97598.35,2024-09-21,2024-10-02
Banana,Luzon,Vacuum Pack,Distributor,Courier,Credit Card,Premium,460.45,237.47,65072.68,2025-12-10,2025-12-13
Mango,Mindanao,Resealable Bag,Wholesale,Air Freight,GCash,Premium,195.17,224.35,170549.03,2025-06-26,2025-07-07
Coconut,Mindanao,Box,Retail,Courier,GCash,Grade A,111.63,212.87,157973.49,2024-11-04,2024-11-09
Pineapple,Luzon,Resealable Bag,Wholesale,Sea Cargo,GCash,Premium,326.04,394.37,109874.04,2025-02-25,2025-03-03
Jackfruit,Mindanao,Vacuum Pack,Online,Pickup,Cash,Grade A,418.48,424.73,101108.46,2025-06-28,2025-07-10
Banana,Luzon,Jar,Distributor,Sea Cargo,Bank Transfer,Grade A,385.01,159.14,34455.75,2024-11-15,2024-11-27
Coconut,Luzon,Box,Wholesale,Sea Cargo,GCash,Grade A,241.16,371.8,31227.22,2025-12-11,2025-12-14
Papaya,Visayas,Vacuum Pack,Wholesale,Air Freight,Cash,Premium,281.07,139.56,32595.22,2024-01-20,2024-02-02
Mango,Visayas,Vacuum Pack,Retail,Air Freight,GCash,Premium,455.53,180.98,76791.4,2024-09-16,2024-09-17
Guava,Mindanao,Box,Distributor,Courier,GCash,Premium,401.36,322.28,105932.75,2024-04-02,2024-04-05
Guava,Mindanao,Vacuum Pack,Wholesale,Sea Cargo,Bank Transfer,Grade A,455.75,297.25,194980.18,2024-03-10,2024-03-12
Jackfruit,Mindanao,Jar,Distributor,Sea Cargo,Credit Card,Premium,480.99,179.68,77416.25,2024-04-11,2024-04-15
Pineapple,Mindanao,Resealable Bag,Online,Air Freight,Bank Transfer,Grade A,259.66,291.51,104205.04,2025-01-23,2025-01-30
Banana,Mindanao,Vacuum Pack,Retail,Courier,Credit Card,Grade A,223.15,270.79,149873.14,2025-01-04,2025-01-16
Papaya,Luzon,Jar,Distributor,Pickup,GCash,Grade A,452.64,384.8,188425.58,2025-12-04,2025-12-18
Mango,Mindanao,Jar,Retail,Pickup,Credit Card,Premium,346.35,148.05,37239.84,2025-01-11,2025-01-14
Jackfruit,Luzon,Resealable Bag,Retail,Courier,GCash,Grade B,140.12,398.53,86814.92,2025-02-14,2025-02-26
Papaya,Mindanao,Jar,Distributor,Courier,Credit Card,Grade B,264.12,319.04,86844.28,2024-08-26,2024-09-09
Banana,Luzon,Jar,Retail,Air Freight,Bank Transfer,Grade B,273.77,327.36,35575.59,2025-05-11,2025-05-20
Mango,Luzon,Jar,Retail,Sea Cargo,Credit Card,Premium,355.64,170.4,128173.68,2024-04-11,2024-04-23
Mango,Mindanao,Jar,Online,Sea Cargo,Bank Transfer,Premium,274.05,286.58,113063.24,2024-04-08,2024-04-21
Mango,Luzon,Jar,Retail,Pickup,Credit Card,Grade B,433.79,266.04,16836.41,2025-07-07,2025-07-16
Coconut,Visayas,Resealable Bag,Online,Pickup,GCash,Grade B,372.08,280.86,30782.58,2024-06-30,2024-07-09
Coconut,Mindanao,Jar,Online,Sea Cargo,Cash,Grade B,168.53,315.04,81781.56,2025-11-22,2025-11-30
Guava,Visayas,Box,Retail,Air Freight,Cash,Grade A,426.62,235.13,150990.86,2025-11-23,2025-11-29
Coconut,Visayas,Jar,Retail,Pickup,Bank Transfer,Grade B,235.37,138.63,56403.49,2024-01-28,2024-02-10
Banana,Mindanao,Vacuum Pack,Retail,Courier,Cash,Grade B,126.4,297.68,17101.75,2024-08-28,2024-09-08
Papaya,Mindanao,Jar,Distributor,Air Freight,Credit Card,Premium,60.01,224.45,118367.17,2025-11-04,2025-11-18
Mango,Visayas,Vacuum Pack,Wholesale,Courier,Credit Card,Premium,415.16,340.24,41659.17,2024-11-26,2024-12-06
Papaya,Luzon,Jar,Retail,Sea Cargo,Bank Transfer,Grade B,71.39,448.76,86385.2,2024-11-02,2024-11-08
Coconut,Luzon,Vacuum Pack,Distributor,Courier,Cash,Premium,410.53,276.84,49850.44,2024-08-19,2024-08-29
Guava,Visayas,Box,Online,Courier,GCash,Grade B,231.04,326.24,96113.44,2024-03-19,2024-03-30
Mango,Mindanao,Resealable Bag,Online,Sea Cargo,Credit Card,Grade B,471.72,295.8,126740.24,2025-07-14,2025-07-17
Coconut,Mindanao,Vacuum Pack,Wholesale,Courier,Credit Card,Grade A,158.17,366.32,155450.72,2025-03-20,2025-03-30
Banana,Luzon,Resealable Bag,Online,Courier,Bank Transfer,Premium,122.26,346.66,54864.67,2025-03-21,2025-03-28
Pineapple,Luzon,Vacuum Pack,Wholesale,Courier,Credit Card,Grade B,301.92,263.92,132915.19,2024-09-01,2024-09-03
Pineapple,Visayas,Resealable Bag,Retail,Courier,Bank Transfer,Premium,297.82,332.62,18024.15,2024-02-07,2024-02-11
Mango,Luzon,Vacuum Pack,Distributor,Courier,Cash,Grade B,453.55,341.65,178286.68,2025-05-12,2025-05-25
Coconut,Luzon,Resealable Bag,Retail,Air Freight,Bank Transfer,Grade B,448.05,198.57,33232.6,2025-02-10,2025-02-24
Guava,Mindanao,Jar,Wholesale,Pickup,GCash,Grade A,98.07,190.66,62163.99,2024-11-16,2024-11-22
Guava,Mindanao,Vacuum Pack,Online,Courier,Cash,Grade B,295.59,276.7,56805.87,2025-02-22,2025-02-27
Pineapple,Visayas,Jar,Distributor,Courier,Cash,Premium,485.06,319.92,169879.86,2024-10-11,2024-10-24
Mango,Mindanao,Resealable Bag,Distributor,Pickup,Bank Transfer,Premium,481.32,239.74,164327.56,2025-11-09,2025-11-22
Guava,Luzon,Jar,Online,Air Freight,Credit Card,Grade B,185.4,428.99,153766.91,2024-05-04,2024-05-13
Guava,Luzon,Jar,Distributor,Pickup,Cash,Grade B,439.9,391.66,188694.13,2024-10-31,2024-11-04
Papaya,Visayas,Jar,Retail,Sea Cargo,Bank Transfer,Premium,79.87,258.89,148554.0,2025-04-27,2025-05-09
Banana,Visayas,Vacuum Pack,Retail,Sea Cargo,Credit Card,Premium,111.24,252.22,129376.29,2025-07-14,2025-07-26
Mango,Luzon,Resealable Bag,Wholesale,Sea Cargo,Credit Card,Grade B,253.17,408.26,35366.86,2024-11-17,2024-11-27
Jackfruit,Visayas,Box,Wholesale,Air Freight,Credit Card,Grade B,131.85,409.21,189503.86,2024-06-26,2024-07-07
Mango,Luzon,Resealable Bag,Retail,Pickup,GCash,Grade B,365.57,175.69,86196.63,2025-08-07,2025-08-11
Banana,Luzon,Vacuum Pack,Distributor,Sea Cargo,Cash,Grade A,373.36,263.6,184797.92,2025-03-15,2025-03-25
Coconut,Visayas,Vacuum Pack,Wholesale,Sea Cargo,GCash,Grade B,179.58,283.08,34737.87,2025-04-09,2025-04-23
Pineapple,Visayas,Resealable Bag,Online,Sea Cargo,Credit Card,Grade A,62.95,442.12,54742.27,2024-07-30,2024-08-09
Banana,Mindanao,Jar,Retail,Air Freight,Credit Card,Grade A,442.15,441.55,85535.4,2025-04-06,2025-04-10
Papaya,Mindanao,Jar,Distributor,Air Freight,Cash,Premium,76.44,229.84,54619.87,2024-08-05,2024-08-17
Coconut,Mindanao,Vacuum Pack,Retail,Courier,Credit Card,Grade B,489.89,341.52,35125.27,2024-12-28,2025-01-07
Jackfruit,Luzon,Box,Wholesale,Pickup,Bank Transfer,Grade B,109.36,224.71,110780.52,2025-07-26,2025-07-27
Mango,Visayas,Vacuum Pack,Wholesale,Pickup,Bank Transfer,Premium,212.27,261.93,181530.61,2024-05-25,2024-05-30
Guava,Visayas,Box,Online,Sea Cargo,Bank Transfer,Premium,497.55,372.01,38740.3,2024-09-26,2024-10-06
Guava,Visayas,Vacuum Pack,Wholesale,Sea Cargo,Cash,Grade A,132.41,275.18,41075.44,2025-11-04,2025-11-15
